chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,rmse,zero_crossing_rate,label
0.3802779,2004.7338888982677,2795.8056641476505,4674.453714109629,-6.8219557,0.10315513,0.02918018597737819,tzita
0.41504195,2249.8291560926436,2892.0953586344995,5035.247278766677,-4.980584,0.10490977,0.03994163283062645,tzita
0.31964788,3407.382491876687,3766.371350527753,7986.81991824971,-4.0129185,0.18205315,0.06143053944315545,tzita
0.3080138,3638.2463061586413,3878.4745323717357,8504.51609175609,-3.3838725,0.18456195,0.06744738797853829,tzita
0.23757668,3534.3016390693288,3899.0998792175556,8404.39419137906,-3.6656609,0.27815536,0.05130578415023202,tzita
0.279777,3551.2301510889824,3825.2023995046848,8281.540023201856,-4.3179073,0.21214212,0.05821592680539443,tzita
0.36318907,2493.1110531599184,3058.7838938201544,5700.878056572651,-4.8092165,0.12012962,0.04250199390951276,tzita
0.3058277,3592.8761080720465,3852.832562413799,8362.077200551044,-4.009591,0.17542821,0.066397186774942,tzita
0.31582147,3681.0518606712885,3886.0492786832656,8534.142981438516,-3.0732915,0.18710823,0.07255394884715777,tzita
0.27457815,3535.476355689537,3790.1678919273513,8208.047350819315,-4.0357084,0.24232692,0.05754524815110209,tzita
0.28621557,3471.6544168274486,3773.1330604821646,8153.789674267691,-4.2720776,0.19896074,0.05631491534947796,tzita
0.35350809,2799.7474807089975,3280.2467275736594,6418.518264664298,-4.5669723,0.1222564,0.04768389283642691,tzita
0.31281433,3393.191034897394,3719.295184823654,7986.170424883991,-3.3705363,0.20298466,0.06013733051769141,tzita
0.30111417,3299.2769839652465,3732.4536207311326,7878.229623604263,-3.3467386,0.17782412,0.05615970762035963,tzita
0.2758281,3405.770098895297,3779.472649883887,8068.106511020882,-3.101103,0.243216,0.05209315182714617,tzita
0.26235658,3523.9754283653547,3801.358543641583,8238.398675409659,-4.762626,0.21794172,0.05724956043358469,tzita
0.32151768,2873.9629678793667,3349.5268639977758,6615.839345272621,-4.250023,0.16225095,0.04669486840197216,tzita
0.3276294,3413.382999663919,3664.1120158622834,7862.167153059745,-3.7185225,0.17099379,0.06337006960556844,tzita
0.32779405,3601.6404323469333,3797.0266903142374,8285.412002882105,-3.2279017,0.18624654,0.06782011310904873,tzita
0.27239996,3256.644393299733,3701.0897352898205,7823.097629060325,-3.7352312,0.2360656,0.049259194641821345,tzita
0.2724154,3452.2273100756606,3801.7675727959613,8187.738192883556,-4.312751,0.21440639,0.055618746374709975,tzita
0.3273873,2926.054406510813,3399.4723936114565,6828.948110770737,-3.9106443,0.1661582,0.04875731855423434,tzita
